"dates","q_ca_0004","q_ca_0006","q_ht_0006","q_ma_0004","q_mk_0005","q_sd_0001","q_sk_0002"
2013-02-01,75.94,75.588,44.115,73.529,93.647,82.88,123.842
2013-03-01,85.566,85.225,65.067,78.307,101.587,71.13,149.727
2013-04-01,94.699,104.292,76.326,78.904,94.177,91.058,134.011
2013-05-01,126.004,129.383,121.694,96.978,103.919,102.122,133.457
2013-06-01,118.704,129.179,118.866,113.055,88.848,101.923,120.062
2013-07-01,101.477,89.341,108.509,100.847,77.662,97.244,108.818
2013-08-01,95.901,94.987,133.62,108.209,91.04,112.457,111.363
2013-09-01,110.443,88.197,136.967,132.624,77.575,89.117,82.806
2013-10-01,100.933,87.739,124.506,101.834,102.741,128.834,99.627
2013-11-01,64.785,51.24,77.099,74.656,84.472,114.572,63.98
2013-12-01,57.235,47.008,49.63,55.001,76.483,97.329,69.88
2014-01-01,73.296,68.511,60.785,67.872,86.277,76.685,97.863
2014-02-01,61.367,51.734,46.567,70.338,91.261,78.995,111.037
2014-03-01,61.881,68.466,65.935,59.633,102.002,75.567,149.599
2014-04-01,86.477,76.183,85.852,64.444,97.241,82.895,147.137
2014-05-01,115.081,116.462,106.243,98.967,105.052,110.382,145.216
2014-06-01,101.405,105.874,108.761,79.647,97.699,100.346,129.149
2014-07-01,114.552,118.153,122.215,105.525,85.064,99.578,119.526
2014-08-01,102.629,100.025,100.116,113.113,99.916,94.338,127.2
2014-09-01,121.824,116.218,130.029,107.688,104.894,99.639,127.283
2014-10-01,101.673,98.018,98.653,100.152,104.384,122.672,94.728
2014-11-01,80.07,72.401,68.886,85.657,98.768,130.93,80.054
2014-12-01,62.236,54.95,57.692,64.476,66.056,103.3,45.903
2015-01-01,69.461,67.507,50.784,67.824,93.211,80.642,81.661
2015-02-01,78.038,77.202,45.283,75.925,90.097,70.777,114.226
2015-03-01,77.781,91.022,68.885,77.69,103.248,69.913,153.383
2015-04-01,126.485,129.373,87.805,99.117,91.703,85.799,145.704
2015-05-01,114.059,116.958,87.809,99.615,100.239,114.866,141.76
2015-06-01,127.085,134.38,129.661,91.773,91.68,104.234,136.293
2015-07-01,117.013,120.09,117.245,106.075,90.091,112.478,118.409
2015-08-01,121.12,113.487,118.907,112.654,97.716,124.986,128.536
2015-09-01,115.635,112.838,121.053,117.27,101.849,103.435,121.615
2015-10-01,116.05,112.509,123.451,106.786,103.964,133.056,123.03
2015-11-01,89.835,91.433,75.975,96.103,114.929,144.167,99.326
2015-12-01,61.222,51.766,55.536,70.357,96.52,106.96,82.216
2016-01-01,59.071,50.752,50.007,68.704,103.005,95.565,91.845
2016-02-01,77.11,78.066,69.445,66.188,100.398,94.917,114.994
2016-03-01,71.574,62.692,65.54,59.685,105.698,92.459,140.207
2016-04-01,105.025,96.166,82.746,87.88,92.673,71.94,149.828
2016-05-01,128.302,134.545,112.384,100.236,94.74,96.403,141.633
2016-06-01,110.558,127.776,114.782,110.267,90.841,96.126,117.352
2016-07-01,116.825,130.169,107.163,115.622,102.402,100.147,134.448
2016-08-01,116.447,117.828,116.609,106.978,97.394,111.591,127.256
2016-09-01,122.361,97.401,133.141,111.332,78.743,99.209,103.314
2016-10-01,90.41,73.718,129.267,105.815,70.143,89.633,78.408
2016-11-01,84.549,79.319,88.612,87.871,100.653,132.447,86.558
2016-12-01,64.612,56.586,69.475,71.476,71.564,99.657,54.177
2017-01-01,54.914,53.696,62.861,78.715,85.684,108.517,84.404
2017-02-01,73.168,65.511,55.531,72.511,95.715,88.798,109.727
2017-03-01,91.953,82.224,66.728,81.766,119.214,104.769,151.585
2017-04-01,117.855,116.856,81.269,90.538,107.943,117.412,139.259
2017-05-01,122.99,114.285,114.014,106.947,100.67,116.636,129.549
2017-06-01,95.113,106.508,91.679,91.189,95.661,102.352,130.581
2017-07-01,104.542,88.549,123.887,104.28,87.49,93.232,111.943
2017-08-01,110.441,104.671,112.912,115.486,93.138,87.487,120.233
2017-09-01,88.058,105.305,120.783,110.017,93.911,91.295,117.719
2017-10-01,79.27,77.336,124.23,92.7,84.767,111.879,80.247
2017-11-01,72.418,66.129,72.235,86.727,82.446,112.659,73.988
2017-12-01,67.034,55.774,51.386,62.346,81.285,97.31,56.81
2018-01-01,51.415,50.63,52.722,66.665,86.545,91.287,79.07
2018-02-01,74.505,75.051,53.178,78.776,100.964,104.931,119.461
2018-03-01,83.813,84.59,81.04,72.279,117.117,101.502,147.564
2018-04-01,93.163,113.753,95.347,81.705,104.823,95.456,146.432
2018-05-01,128.355,142.254,116.314,106.298,102.726,105.732,137.455
2018-06-01,119.364,122.992,126.218,87.502,92.39,113.582,125.046
2018-07-01,97.717,90.728,117,104.958,96.69,104.352,127.42
2018-08-01,106.113,98.732,129.02,98.434,98.285,109.672,124.195
2018-09-01,133.556,130.056,132.768,131.776,98.365,103.803,119.877
2018-10-01,115.563,116.307,114.393,102.088,121.14,135.249,137.595
2018-11-01,78.227,76.485,81.096,92.772,90.808,115.431,101.718
2018-12-01,58.873,58.681,62.374,64.726,80.39,98.277,60.208
2019-01-01,67.306,71.687,66.09,77.176,97.917,89.823,103.176
2019-02-01,89.528,84.75,60.394,89.707,102.029,95.164,133.506
2019-03-01,74.471,74.907,73.125,71.816,111.525,86.219,139.121
2019-04-01,108.011,112.443,89.329,87.868,95.594,90.249,144.745
2019-05-01,118.543,115.108,92.696,75.549,96.9,101.802,127.354
2019-06-01,105.394,115.669,84.302,86.31,107.233,114.171,131.294
2019-07-01,115.4,114.377,106.012,96.076,99.428,106.083,132.882
2019-08-01,104.818,97.696,131.248,118.302,93.713,94.651,114.861
2019-09-01,135.243,136.401,160.273,128.433,91.008,115.005,117.589
2019-10-01,104.864,114.824,118.914,110.676,105.382,128.774,116.88
2019-11-01,88.641,87.858,88.712,88.279,91.231,125.418,80.313
2019-12-01,64.526,70.211,60.646,75.711,93.598,91.482,75.883
2020-01-01,53.787,64.405,52.793,71.238,98.84,87.187,112.403
2020-02-01,76.029,79.931,57.671,62.573,99.388,90.464,118.032
2020-03-01,80.838,84.364,77.667,57.707,107.89,73.919,154.245
2020-04-01,93.38,90.422,97.749,81.355,97.316,98.6,146.21
2020-05-01,126.325,139.229,111.144,115.705,93.549,113.724,142.47
2020-06-01,123.442,131.845,107.915,88.537,87.463,107.968,134.89
2020-07-01,124.383,127.307,116.545,105.876,99.806,98.414,134.073
2020-08-01,111.012,104.385,132.081,103.202,102.554,113.354,108.817
2020-09-01,88.041,91.06,112.807,100.058,84.018,93.593,107.041
2020-10-01,77.379,56.168,113.51,99.415,72.008,121.861,69.721
2020-11-01,81.413,81.818,93.726,94.739,94.988,125.179,69.865
2020-12-01,62.871,50.203,56.478,69.798,60.248,99.577,48.444
